OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude,Geocoding_Timestamp,Geocoding_Status
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.899,41.11898,-85.18991,2025-01-27T22:17:49.458221,SUCCESS
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,600,3.624,30.2319,-92.53466,2025-01-27T22:17:50.064225,SUCCESS
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,935,3.779,45.54413,-122.40507,2025-01-27T22:17:50.619960,SUCCESS
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,835,3.67066666,41.60987,-109.22408,2025-01-27T22:17:51.192610,SUCCESS
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.399,46.22417,-119.7967,2025-01-27T22:17:51.757613,SUCCESS
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,615,2.964,33.17281,-87.45245,2025-01-27T22:17:52.388612,SUCCESS
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,400,3.22566666,38.98985,-93.56759,2025-01-27T22:17:53.011337,SUCCESS
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,475,3.50066666,41.11292,-102.95574,2025-01-27T22:17:53.622333,SUCCESS
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,12,3.599,43.65484,-72.24391,2025-01-27T22:17:54.206339,SUCCESS
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,120,4.359,42.95733,-74.1939,2025-01-27T22:17:54.772335,SUCCESS
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,305,3.15233333,41.76914,-80.95032,2025-01-27T22:17:55.338636,SUCCESS
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39948962,36.97931,-85.61089,2025-01-27T22:17:55.880638,SUCCESS
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,935,3.379,44.62879,-123.06187,2025-01-27T22:17:56.445637,SUCCESS
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,460,2.98566666,35.83935,-88.0879,2025-01-27T22:17:57.022641,SUCCESS
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.42566666,35.90494,-84.14963,2025-01-27T22:17:57.606681,SUCCESS
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.39948962,50.34836,-113.77097,2025-01-27T22:17:58.187683,SUCCESS
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,640,3.499,31.94267,-106.58261,2025-01-27T22:17:58.762682,SUCCESS
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,150,3.549,39.84497,-75.18422,2025-01-27T22:17:59.348686,SUCCESS
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,566,3.20566666,45.31853,-97.05175,2025-01-27T22:17:59.935334,SUCCESS
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,38,4.499,42.16084,-78.99924,2025-01-27T22:18:00.515025,SUCCESS
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,570,3.499,38.4829,-101.3582,2025-01-27T22:18:01.059020,SUCCESS
692,BP,US-63,Ottumwa,IA,489,3.399,41.04396,-92.41459,2025-01-27T22:18:01.591020,SUCCESS
